Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,71.0,71.18000030517578,68.66000366210938,68.80999755859375,68.67190551757812,2233000
2021-01-05,68.87000274658203,69.54499816894531,68.08999633789062,68.5,68.36253356933594,2591800
2021-01-06,69.27999877929688,71.37999725341797,69.01000213623047,71.06999969482422,70.92737579345703,3680400
2021-01-07,71.54000091552734,72.83999633789062,70.91999816894531,72.55000305175781,72.40440368652344,2120700
2021-01-08,72.80999755859375,73.41000366210938,72.05000305175781,72.58000183105469,72.43434143066406,1730100
2021-01-11,71.80000305175781,72.29000091552734,70.91000366210938,71.08999633789062,70.94732666015625,1251100
2021-01-12,71.22000122070312,71.55000305175781,70.4000015258789,71.08999633789062,70.94732666015625,1446400
2021-01-13,71.20999908447266,71.68000030517578,69.93000030517578,70.19999694824219,70.05912017822266,1259600
2021-01-14,70.61000061035156,71.0999984741211,69.72000122070312,70.52999877929688,70.38845825195312,2028900
2021-01-15,70.1500015258789,70.54499816894531,69.33000183105469,70.22000122070312,70.0790786743164,1283100
2021-01-19,70.83999633789062,71.12000274658203,70.01000213623047,70.37999725341797,70.23875427246094,2621800
2021-01-20,70.33999633789062,70.9000015258789,70.0,70.19999694824219,70.05912017822266,2237300
2021-01-21,70.19999694824219,70.72000122070312,69.80000305175781,70.05999755859375,69.91940307617188,1487500
2021-01-22,69.93000030517578,70.05000305175781,68.69000244140625,69.31999969482422,69.1808853149414,1619200
2021-01-25,68.80000305175781,69.0,67.75,67.86000061035156,67.72381591796875,1665300
2021-01-26,68.0,68.4000015258789,66.94999694824219,67.0,66.86553955078125,2182800
2021-01-27,66.13999938964844,66.37999725341797,64.58000183105469,66.13999938964844,66.00727081298828,3495200
2021-01-28,67.08000183105469,67.81999969482422,66.19999694824219,66.79000091552734,66.65596771240234,1616000
2021-01-29,66.4800033569336,67.0999984741211,65.44999694824219,66.08000183105469,65.9473876953125,1715500
2021-02-01,66.4800033569336,66.91000366210938,66.0999984741211,66.62999725341797,66.49628448486328,1533000
2021-02-02,67.04000091552734,67.37000274658203,66.08000183105469,66.56999969482422,66.43640899658203,2290900
2021-02-03,66.48999786376953,66.83000183105469,65.87999725341797,66.25,66.11705017089844,2225400
2021-02-04,66.18000030517578,66.66999816894531,66.0,66.08000183105469,65.9473876953125,3336600
2021-02-05,67.70999908447266,70.02999877929688,67.70999908447266,68.9000015258789,68.76173400878906,6169700
2021-02-08,69.04000091552734,69.33000183105469,66.98999786376953,67.68000030517578,67.54417419433594,4496600
2021-02-09,67.75,68.5999984741211,67.33000183105469,68.23999786376953,68.1030502319336,1982300
2021-02-10,69.0,70.7699966430664,68.4800033569336,70.23999786376953,70.09903717041016,2690000
2021-02-11,70.61000061035156,71.43000030517578,69.58999633789062,70.52999877929688,70.38845825195312,2377800
2021-02-12,70.30000305175781,71.63999938964844,70.06999969482422,71.5199966430664,71.37647247314453,1501700
2021-02-16,71.26000213623047,71.88999938964844,69.66000366210938,69.80000305175781,69.65992736816406,2175600
2021-02-17,68.7300033569336,69.1500015258789,66.83999633789062,67.5999984741211,67.4643325805664,3344800
2021-02-18,67.19999694824219,67.69000244140625,66.07499694824219,66.69000244140625,66.55615997314453,3191500
2021-02-19,67.04000091552734,67.86000061035156,67.0,67.19000244140625,67.05516815185547,1740600
2021-02-22,66.54000091552734,67.94000244140625,66.29000091552734,67.08999633789062,66.95535278320312,2179000
2021-02-23,67.2300033569336,67.55999755859375,66.0,67.44000244140625,67.3046646118164,2863300
2021-02-24,67.5,68.41999816894531,67.19000244140625,67.63999938964844,67.50425720214844,2419500
2021-02-25,67.37999725341797,67.7300033569336,65.86000061035156,66.30999755859375,66.2454833984375,2040300
